"场次编号","阶段","赛程状态","盘口数据状态","日期","开赛时间（盘口页GMT-4）","主队","客队","对阵占位","比赛城市","可见玩法数","缺失原因","用途"
"1","小组赛","球队已确定","当前 m522 赛事页已抓取","06月11日 星期四","06月11日 15:00","墨西哥","南非",,,"114",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"2","小组赛","球队已确定","当前 m522 赛事页已抓取","06月11日 星期四","06月11日 22:00","韩国","捷克",,,"100",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"3","小组赛","球队已确定","当前 m522 赛事页已抓取","06月12日 星期五","06月12日 15:00","加拿大","波斯尼亚和黑塞哥维那",,,"79",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"4","小组赛","球队已确定","当前 m522 赛事页已抓取","06月12日 星期五","06月12日 21:00","美国","巴拉圭",,,"79",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"5","小组赛","球队已确定","当前 m522 赛事页已抓取","06月13日 星期六","06月13日 15:00","卡塔尔","瑞士",,,"79",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"6","小组赛","球队已确定","当前 m522 赛事页已抓取","06月13日 星期六","06月13日 18:00","巴西","摩洛哥",,,"79",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"7","小组赛","球队已确定","当前 m522 赛事页已抓取","06月13日 星期六","06月13日 21:00","海地","苏格兰",,,"79",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"8","小组赛","球队已确定","当前 m522 赛事页已抓取","06月13日 星期六","06月13日 23:59","澳大利亚","土耳其",,,"79",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"9","小组赛","球队已确定","当前 m522 赛事页已抓取","06月14日 星期日","06月14日 13:00","德国","库拉索",,,"79",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"10","小组赛","球队已确定","当前 m522 赛事页已抓取","06月14日 星期日","06月14日 16:00","荷兰","日本",,,"79",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"11","小组赛","球队已确定","当前 m522 赛事页已抓取","06月14日 星期日","06月14日 19:00","象牙海岸","厄瓜多尔",,,"79",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"12","小组赛","球队已确定","当前 m522 赛事页已抓取","06月14日 星期日","06月14日 22:00","瑞典","突尼斯",,,"79",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"13","小组赛","球队已确定","当前 m522 赛事页已抓取","06月15日 星期一","06月15日 12:00","西班牙","佛得角共和国",,,"79",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"14","小组赛","球队已确定","当前 m522 赛事页已抓取","06月15日 星期一","06月15日 15:00","比利时","埃及",,,"79",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"15","小组赛","球队已确定","当前 m522 赛事页已抓取","06月15日 星期一","06月15日 18:00","沙特阿拉伯","乌拉圭",,,"79",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"16","小组赛","球队已确定","当前 m522 赛事页已抓取","06月15日 星期一","06月15日 21:00","伊朗","纽西兰",,,"79",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"17","小组赛","球队已确定","当前 m522 赛事页已抓取","06月16日 星期二","06月16日 15:00","法国","塞内加尔",,,"79",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"18","小组赛","球队已确定","当前 m522 赛事页已抓取","06月16日 星期二","06月16日 18:00","伊拉克","挪威",,,"79",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"19","小组赛","球队已确定","当前 m522 赛事页已抓取","06月16日 星期二","06月16日 21:00","阿根廷","阿尔及利亚",,,"79",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"20","小组赛","球队已确定","当前 m522 赛事页已抓取","06月16日 星期二","06月16日 23:59","奥地利","约旦",,,"79",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"21","小组赛","球队已确定","当前 m522 赛事页已抓取","06月17日 星期三","06月17日 13:00","葡萄牙","刚果民主共和国",,,"79",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"22","小组赛","球队已确定","当前 m522 赛事页已抓取","06月17日 星期三","06月17日 16:00","英格兰","克罗地亚",,,"79",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"23","小组赛","球队已确定","当前 m522 赛事页已抓取","06月17日 星期三","06月17日 19:00","加纳","巴拿马",,,"79",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"24","小组赛","球队已确定","当前 m522 赛事页已抓取","06月17日 星期三","06月17日 22:00","乌兹别克","哥伦比亚",,,"79",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"25","小组赛","球队已确定","当前 m522 赛事页已抓取","06月18日 星期四","06月18日 12:00","捷克","南非",,,"71",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"26","小组赛","球队已确定","当前 m522 赛事页已抓取","06月18日 星期四","06月18日 15:00","瑞士","波斯尼亚和黑塞哥维那",,,"71",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"27","小组赛","球队已确定","当前 m522 赛事页已抓取","06月18日 星期四","06月18日 18:00","加拿大","卡塔尔",,,"71",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"28","小组赛","球队已确定","当前 m522 赛事页已抓取","06月18日 星期四","06月18日 21:00","墨西哥","韩国",,,"71",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"29","小组赛","球队已确定","当前 m522 赛事页已抓取","06月19日 星期五","06月19日 15:00","美国","澳大利亚",,,"71",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"30","小组赛","球队已确定","当前 m522 赛事页已抓取","06月19日 星期五","06月19日 18:00","苏格兰","摩洛哥",,,"71",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"31","小组赛","球队已确定","当前 m522 赛事页已抓取","06月19日 星期五","06月19日 20:30","巴西","海地",,,"71",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"32","小组赛","球队已确定","当前 m522 赛事页已抓取","06月19日 星期五","06月19日 23:00","土耳其","巴拉圭",,,"71",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"33","小组赛","球队已确定","当前 m522 赛事页已抓取","06月20日 星期六","06月20日 13:00","荷兰","瑞典",,,"71",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"34","小组赛","球队已确定","当前 m522 赛事页已抓取","06月20日 星期六","06月20日 16:00","德国","象牙海岸",,,"71",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"35","小组赛","球队已确定","当前 m522 赛事页已抓取","06月20日 星期六","06月20日 20:00","厄瓜多尔","库拉索",,,"71",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"36","小组赛","球队已确定","当前 m522 赛事页已抓取","06月20日 星期六","06月20日 23:59","突尼斯","日本",,,"71",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"37","小组赛","球队已确定","当前 m522 赛事页已抓取","06月21日 星期日","06月21日 12:00","西班牙","沙特阿拉伯",,,"71",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"38","小组赛","球队已确定","当前 m522 赛事页已抓取","06月21日 星期日","06月21日 15:00","比利时","伊朗",,,"71",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"39","小组赛","球队已确定","当前 m522 赛事页已抓取","06月21日 星期日","06月21日 18:00","乌拉圭","佛得角共和国",,,"71",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"40","小组赛","球队已确定","当前 m522 赛事页已抓取","06月21日 星期日","06月21日 21:00","纽西兰","埃及",,,"71",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"41","小组赛","球队已确定","当前 m522 赛事页已抓取","06月22日 星期一","06月22日 13:00","阿根廷","奥地利",,,"71",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"42","小组赛","球队已确定","当前 m522 赛事页已抓取","06月22日 星期一","06月22日 17:00","法国","伊拉克",,,"71",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"43","小组赛","球队已确定","当前 m522 赛事页已抓取","06月22日 星期一","06月22日 20:00","挪威","塞内加尔",,,"71",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"44","小组赛","球队已确定","当前 m522 赛事页已抓取","06月22日 星期一","06月22日 23:00","约旦","阿尔及利亚",,,"71",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"45","小组赛","球队已确定","当前 m522 赛事页已抓取","06月23日 星期二","06月23日 13:00","葡萄牙","乌兹别克",,,"71",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"46","小组赛","球队已确定","当前 m522 赛事页已抓取","06月23日 星期二","06月23日 16:00","英格兰","加纳",,,"71",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
"47","小组赛","球队已确定","当前 m522 赛事页已抓取","06月23日 星期二","06月23日 19:00","巴拿马","克罗地亚",,,"71",,"仅作市场背景数据，不用于投注建议、追分建议或保证预测"
